Day,Cum. First Doses,Cum. Second Doses,New First Doses,New Second Doses,Second Dose Queue,Total Second Doses Given
0,2286572,391399,,,1895173,0
1,2431648,412167,145076,20768,2019481,20768
2,2639309,428232,207661,16065,2211077,36833
3,2918252,437977,278943,9745,2480275,46578
4,3234946,443234,316694,5257,2791712,51835
5,3576263,447442,341317,4208,3128821,56043
6,3872394,450062,296131,2620,3422332,58663
7,4062501,452301,190107,2239,3610200,60902
8,4266577,456866,204076,4565,3809711,65467
9,4609740,460625,343163,3759,4149115,69226
10,4973248,464036,363508,3411,4509212,72637
11,5383103,466796,409855,2760,4916307,75397
12,5861351,468617,478248,1821,5392734,77218
13,6353321,469660,491970,1043,5883661,78261
14,6573570,470478,220249,818,6103092,79079
15,6853327,472446,279757,1968,6380881,81047
16,7164387,474156,311060,1710,6690231,82757
17,7476765,476485,312378,2329,7000280,85086
18,7891184,478254,414419,1769,7412930,86855
19,8378940,480432,487756,2178,7898508,89033
20,8977329,491053,598389,10621,8486276,99654
21,9296367,494209,319038,3156,8802158,102810
22,9646715,496796,350348,2587,9149919,105397
23,10021471,498962,374756,2166,9522509,107563
24,10490487,501957,469016,2995,9988530,110558
25,10971047,505993,480560,4036,10465054,114594
26,11465210,510057,494163,4064,10955153,118658
27,12015018,511719,549808,1662,11503299,120320
28,12294006,512581,278988,862,11781425,121182
29,12646486,516392,352480,3811,12130094,124993
30,13058298,519553,411812,3161,12538745,128154
31,13509108,524447,450810,4894,12984661,133048
32,14012224,530094,503116,5647,13482130,138695
33,14556827,534869,544603,4775,14021958,143470
34,15062189,537715,505362,2846,14524474,146316
35,15300151,539630,237962,1915,14760521,148231
36,15576107,546165,275956,6535,15029942,154766
37,15940972,558577,364865,12412,15382395,167178
38,16423082,573724,482110,15147,15849358,182325
39,16875536,589591,452454,15867,16285945,198192
40,17247442,604885,371906,15294,16642557,213486
41,17582121,615148,334679,10263,16966973,223749
42,17723840,624325,141719,9177,17099515,232926
43,17916181,642788,192341,18463,17273393,251389
44,18242873,669105,326692,26317,17573768,277706
45,18691835,700718,448962,31613,17991117,309319
46,19177555,736037,485720,35319,18441518,344638
47,19682048,768810,504493,32773,18913238,377411
48,20089551,796132,407503,27322,19293419,404733
49,20275451,815816,185900,19684,19459635,424417
50,20478619,844098,203168,28282,19634521,452699
51,20703615,895412,224996,51314,19808203,504013
52,20982571,963862,278956,68450,20018709,572463
53,21358815,1034068,376244,70206,20324747,642669
54,21796278,1090840,437463,56772,20705438,699441
55,22213112,1122402,416834,31562,21090710,731003
56,22377255,1142643,164143,20241,21234612,751244
57,22592528,1181431,215273,38788,21411097,790032
58,22809829,1254353,217301,72922,21555476,862954
59,23053716,1351515,243887,97162,21702201,960116
60,23314525,1445078,260809,93563,21869447,1053679
61,23684103,1532754,369578,87676,22151349,1141355
62,24196211,1584909,512108,52155,22611302,1193510
63,24453221,1610280,257010,25371,22842941,1218881
64,24839906,1663646,386685,53366,23176260,1272247
65,25273226,1759445,433320,95799,23513781,1368046
66,25735472,1879054,462246,119609,23856418,1487655
67,26263732,2011070,528260,132016,24252662,1619671
68,26878662,2136795,614930,125725,24741867,1745396
69,27630970,2228772,752308,91977,25402198,1837373
70,27997976,2281384,367006,52612,25716592,1889985
71,28327873,2363684,329897,82300,25964189,1972285
72,28653523,2532839,325650,169155,26120684,2141440
73,28991188,2775481,337665,242642,26215707,2384082
74,29316130,3009863,324942,234382,26306267,2618464
75,29727435,3293517,411305,283654,26433918,2902118
76,30151736,3532378,424301,238861,26619358,3140979
77,30445284,3679972,293548,147594,26765312,3288573
78,30682093,3848202,236809,168230,26833891,3456803
79,30908010,4125884,225917,277682,26782126,3734485
80,31147444,4513458,239434,387574,26633986,4122059
81,31318262,4958874,170818,445416,26359388,4567475
82,31425682,5205505,107420,246631,26220177,4814106
83,31533568,5384418,107886,178913,26149150,4993019
84,31581623,5432126,48055,47708,26149497,5040727
85,31622367,5496716,40744,64590,26125651,5105317
86,31707594,5683509,85227,186793,26024085,5292110
87,31807124,6091905,99530,408396,25715219,5700506
88,31903366,6541174,96242,449269,25362192,6149775
89,32010244,6991310,106878,450136,25018934,6599911
90,32121353,7466540,111109,475230,24654813,7075141
91,32190576,7656205,69223,189665,24534371,7264806
92,32250481,7857396,59905,201191,24393085,7465997
93,32326604,8170081,76123,312685,24156523,7778682
94,32444439,8513864,117835,343783,23930575,8122465
95,32574221,8931547,129782,417683,23642674,8540148
96,32709778,9431211,135557,499664,23278567,9039812
97,32849223,9930846,139445,499635,22918377,9539447
98,32932448,10152039,83225,221193,22780409,9760640
99,33032120,10425790,99672,273751,22606330,10034391
100,33139742,10775817,107622,350027,22363925,10384418
101,33257651,11192601,117909,416784,22065050,10801202
102,33388637,11623671,130986,431070,21764966,11232272
103,33524423,12088686,135786,465015,21435737,11697287
104,33673190,12636322,148767,547636,21036868,12244923
105,33752885,12897123,79695,260801,20855762,12505724
106,33843580,13201811,90695,304688,20641769,12810412
107,33959908,13581076,116328,379265,20378832,13189677
108,34094048,14043961,134140,462885,20050087,13652562
109,34216616,14535528,122568,491567,19681088,14144129
110,34362205,14957313,145589,421785,19404892,14565914
111,34505380,15329617,143175,372304,19175763,14938218
112,34595304,15502508,89924,172891,19092796,15111109
113,34667904,15630007,72600,127499,19037897,15238608
114,34795074,15887493,127170,257486,18907581,15496094
115,34934171,16291719,139097,404226,18642452,15900320
116,35069641,16764720,135470,473001,18304921,16373321
117,35202642,17230542,133001,465822,17972100,16839143
118,35371669,17669379,169027,438837,17702290,17277980
